中文,英文,例句（中英文）,分类,出处,道次第补充目录,页码/日期/题目,备注,,,
沮丧的，绝望的,despondent,"After his third journey, Siddhartha became genuinely despondent over his powerlessness to protect his subjects from unavoidable death.第三次出游回来以后，悉达多对于自己无力保护他的子民免于必然的死亡，感到极度的沮丧。",读书会,正见,,Chapter 1 P9,（extremely unhappy and without hope）,,,
忧郁的，抑郁的,melancholic,This was not a passing melancholic reflectiion.Siddhartha was obsessed.然而对太子而言，这并不是短暂的忧伤情绪而已。悉达多完全沉陷其中。,读书会,正见,,Chapter 1 P9,,,,
衰退，恶化,sink,"To prevent the prince from sinking deeper into his depression, Suddhodana told him not to leave the palace again.为了防止太子愈陷愈深，净饭王不准他再次离开王宫。",读书会,正见,,Chapter 1 P9,,,,
清白的，无罪的,in the clear,"But most of us, unless we have been diagnosed with a terminal illness, think that we are in the clear for the time beiing.但是除非是被诊断罹患绝症，大部分的人都自认暂时不会有危险。",读书会,正见,,Chapter 1 P9,（not guilty of sth）,,,
（非正式）不得不,be stuck with,We are stuck with our short-term thinking and bound by practicality.我们被短视的想法所困，被现实性所囿限。,读书会,正见,,Chapter 3 P59,,,,
（非正式）信从，相信,buy into,"But if you really go too far beyond the accepted boundary, if you completely buy into emptiness, people may well think that you are abnormal, crazy, and irrational.但若你真正超越了能被接受的范畴，如果你完全接纳空性，人们很可能认为你不正常、疯狂及不理性。",读书会,正见,,Chapter 3 P60,,,,
(论点，借口)不可信的,flimsy,They are all a matter of flimsy interpretation.他们都是不可信的解释。,读书会,正见,,Chapter 3 P58,,,,
（某种情绪或念头）充满（内心）,be consumed with,"As he became consumed with these thoughts, Siddhartha attempted to discuss mortality with his father.日以继夜地沉思着这些问题，悉达多试图和他的父亲讨论死亡。",读书会,正见,,Chapter 1 P9,,,,
（人或动物因社会或生理原因天生）按某种方式行动,be programmed,"We are not programmed to think, I can fit into the yark horn without changing my size or shape.我们没有被设定成能这么想：我能不改变大小或形状而进入那牦牛角。",读书会,正见,,Chapter 3 P60,,,,
（通常因宗教原因）行乞的人,mendicant,"Discarding these items that identified him as an educated aristocrat, he clothed himself in only a scrap of cloth and became a wandering mendicant.褪去了种种象征教养贵族的外物，披上一块破布，他成了一名游方的托钵行者。",读书会,正见,,Chapter 1 P13,,,,
（通过影响或训练）使习惯于，使适应,condition,"If we all condition ourselves to put our feet in other people's shoes, we will cultivate peace in our homes, with our neighbors, and with other countries.如果我们都能训练自己去设身处地地为他人着想，就能在家庭、邻里、国际间增长和平。",读书会,正见,,Chapter 1 P31,,,,
世俗的，尘世间的，人世间的(同义词) worldly,mundane,Impermanence is a simple mundane fact.无常纯粹是一个简单实在的事实。,读书会,正见,,Chapter 1 P19,,,,
（象征身份、职业或生活方式的）标志,trappings,"Theistic trappings such as incense ,bells, and multicolored hats can attract people's attention, but at the same time they can be obstacles.诸如香、铃、彩色帽冠等宗教性的饰物，固然可以引起人们的兴趣，但同时也可能成为障碍。",读书会,正见,,Introduction P2,,,,
（用伪装）遮掩， 掩饰,camouflage,"Yet even after a devastating reminder like the tsunami, the death and devastation will soon be camouflaged and forgotten.然而，即使经过海啸这么具摧毁性的警示，死亡与毁坏很快就会被埋藏与遗忘。",读书会,正见,,Chapter 1 P20,,,,
（尤指无意地）招致（不好的事）,invite,Our insatiable deforestation for the sake of disposable chopsticks and junk mail only invites impermanence to act more quickly.我们为了免洗筷子和垃圾信件，贪婪地砍伐森林，只会更加速这无常的反应。,读书会,正见,,Chapter 1 P19,,,,
(正式)（常指不公正地）把（坏事）归咎于（某人）,impute,"He understood that everything we see, hear, feel, imagine, and know to exist is simply emptiness onto which we have imputed or labeled a certain ""trueness"".他了解了我们所见、所闻、所想、所知的一切存在，纯粹只是空性，而我们不过将某种“真实性”附加或标示于其上而已。",读书会,正见,,Chapter 3 P57,,,,
（正式）（决定，信念等的）理由，依据,rationale,"With our limited rationale, we have a set definition of what makes sense and what is meaningful----and emptiness goes beyond that limit.以有限的理性，我们对什么是有道理的，什么是有意义的，有一套定论-而空性却超越了这个限制。",读书会,正见,,Chapter 3 P59,,,,
（正式）怀有某种想法/希望/看法等,entertain an idea/hope/thought ect,"Sometimes out of frustration that Siddhartha's teachings have not caught on enough for my liking, and sometimes out of my own ambition, I entertain ideas of reforming Buddhism, making it easier-more straightforward and puritanical.有时候，由于悉达多的教法没有如我所愿地风行而引发的挫折感，或有时候出于自己的野心，我会想象一些改革佛教的注意，想把它变得更单纯、更直截了当、更清教徒式。",读书会,正见,,Introduction P2,,,,
（正式）提出（观点，解释等）供考虑,propound,"His realization was not as spectacular as finding a new star, it was not designed to propound moral judgments or to establish a social movement or religion, nor was it a prophecy.他的了悟并不像发现一颗新星般地惊人，也不是用来做道德判断、发起社会运动或创立宗教，更不是一种预言。",读书会,正见,,Chapter 1 P19,,,,
（正式的）全能的,omnipotent,"To give credit to an all-powerful, omnipotent creator, we must factor in the element of time.如果将一切归功于全能而无所不在的造物主，我们就必须把是时间的因素考虑进去。",读书会,正见,,Chapter 1 P18,,,,
“虫礼骑野马藏鱼梅乌食。”,(see texts),"In The Great Treatise on the Stages of the Path to Enlightenment, there are four metaphors highlighting such significance: “An insect worshipping, a cripple riding a wild horse, a Tibetan eating a fish, and a poor boy having Meiwu.”菩提道次第广论》里面有四个比喻来形容暇满的宝贵：“虫礼骑野马，藏鱼梅乌食。”（卷第二）",龙泉寺,LQI20170921,,LQI20170921生命的宝贵 | Life is Precious,学诚法师,,,
“境”,objects of cognition,跟随“道”，而非跟随“境”，才能真正远离烦恼，获得快乐。 Follow the  “way of the Buddha” rather than the “objects of cognition”. Only then can we truly keep away from afflictions and obtain happiness.,龙泉寺,龙泉微开示,,9/8/2017,学诚法师,,,
“三宝”加被,,May “Triratna”bless,微信群,佛教常识的英文正译,,,,,,
“是日已过，命亦随减”,“A day passes with diminishing years left”,“A day passes with diminishing years left” “是日已过，命亦随减”,龙泉寺,LQI20170917,,LQI20170917把心看住 | Keep Our Minds from Becoming Attached to Sense Objects,学诚法师,,,
