中文,英文,释义,梵文,巴利文,出处
 七支供,seven branches of worship ,,,,
阿修罗,demigods,,asura,,
爱别离苦,the suffering of sepration from the pleasant/the suffering of being separated from what one loves,,,,
爱别离苦,the suffering of separation from what is pleasant,,,,
爱语,kind speech,,,,
安居,peaceful dwelling,,,,
安身立命,anchor one's life and spirit,,,,
安住,abide/dwell/settle down,,,,
安住修,Stabilizing Meditation,,,,
八步三禅,Eight Steps and Three Types of Meditation,,,,
八正道,"Eightfold Path,eightfold noble path,the eightfold path",,,,
摆脱,ditch/get rid of,,,,
般若,ultimate truths/wisdom ,,,,
悲心,compassion,,,,
本源自性天真佛,original/intrinsic nature; authentic Buddha,,,,DDB
遍法界,in all dharma realms,,,,
遍计所执,imaginary/imputed/artificial; pervasively discriminated/fabricated,"the first of the three natures in which all phenomena are classified as having three natures: an imaginary, dependent, and consummate nature.",parikalpita,,PDB
遍计所执性,pervasively discriminated/fabricated character,"The Chinese literally reads as 'nature of existence produced from attachment to all-pervasive discrimination,' or 'attachment by pervasive imagination.' Conceptualization detached from the causal nature of things; imagination. The phenomena produced from oneʼs illusory attachment and falsely considered to be real.",parikalpita-svabhāva,,DDB
遍知,Thorough comprehension/all-embracing knowledge/omniscience,The uncontaminated wisdom that fully understands the principle of the Four Truths.,parijñā,,DDB
别业,individual karma/unshared karma,Karma that gives rise to individual effects.,āveṇika-karman,,DDB
不二,not-two/nonduality,"The unity of all things, the one reality, the universal Buddha-nature. There are numerous combinations, e.g., good and evil are not a dualism: nor are existence and emptiness, nor are delusion and enlightenment.",advaita,,DDB
不共,not have in common with/not shared by/as distinguished from,"For one thing to be Ina-Zpplicable or incompatible with another. To not have in common with.(asa^dha^rana, a^ven!ika). Has important technical usage in such terms as 不共不定 and 不共无明.",,,
不立文字,no establishment of words and letters,,,,
不立文字，教外别传,special transmission outside of the doctrine that does not rely on words and letters,,,,
不能自主的,involuntary,,,,
布施,giving/generosity,,dāna,,
参禅,meditative practice,,,,
惭,shame/decency/propriety/conscience,,hrī,,
差别假立寻思,the investigation of designated differences,,,,
禅修,Meditation,,,,
禅宗,Chan School,,,,
常住义工,regular volunteers,,,,PDB
嗔,ill will/aversion/irritation/antipathy/hatred/anger/hostility; malice,The mental factor of negative emotion regarding situations or things that run counter to oneʼs own disposition; which prevents the body and mind from having stability.,dveṣa,,DDB
成佛,achievement/attainment of Buddhahood,,,,
痴,delusion/stupidity/folly/ignorance/confusion; unenlightened,The state of confusion regarding all relative and absolute truths. From this unenlightened condition arises every kind of affliction.,moha,,DDB
持戒,observe precepts/maintain morality,,śīla-dhara,,
出家众,renunciates,,,,
出离,renunciation,"The conviction to be liberated or to emerge from rebirth in SAṂSĀRA, whether one is following the path of the ŚRĀVAKA or PRATYEKABUDDHA in order to become an ARHAT, or is following the BODHISATTVA path in order to become a buddha.",nairyāṇika,,
出离心,renunciation (of samsara); super-mundane mind,the conviction to be liberated or to emerge from rebirth in samsara. the preliminary and conditional turning away from the things of this world and turning toward nirvana.,nirveda,nibbidā,PDB
串习,habituate/repeatedly cultivate; habituation(formation of habit); habit,,,,
慈悲,compassion,,,,
慈心,loving-kindness,,,,
次第,order/sequences,,,,
粗重,dysfunctional tendencies ,,,,
粗重的烦恼,major afflictions,,,,
大乘百法明门论,The Treatise on the Hundred Dharmas: A Gate to Understanding the Mahāyāna,,,,
大圆镜智,great perfect mirror wisdom/mirrorlike wisdom,"As a great round mirror reflects all forms exactly as they are, so does the cognition of the Buddha. A clear, undefiled mind. ",ādarśajñāna,,DDB
道场,platform/seat/site of enlightenment/wisdom/practice,"The place where enlightenment is achieved. This refers initially to the ground under the bodhi tree, where the Buddha was seated at the time of achieving his full enlightenment. A place where religious practice is carried out, or where the Buddha is worshipped. A place where the precepts are given. ",bodhimaṇḍa,,
道次第,Lamrim; the Stages of the Path (to Enlightment),,,,
道次第实修手册,Practical Manual of the Stages,,,,
道前基础,,,,,
地狱众生,hell denizens,,nāraka,,
掉举,"restlessness and worry；frivolity, agitation, excitement，restlessness, unsettledness, falling",,auddhatyakaukṛtya,,
定,concentration/stillness,,samādhi,,
定/三昧,concentration/samadhi,"a foundational term in Buddhist meditation theory and practice, which is related to the ability to establish and maintain onepointedness of mind.",samādhi,,PDB
独觉,Solitary Enlightened One/Solitary Realizer/Pratyeka-Buddha,,,,
度,"convert (a person),cross over (a person),take across to",,,,
度众生,saving sentient beings ,,,,
断德,breaking attachment,,,,
