中文,英文,补充内容,英文
安心禅茶,Dhyana Tea,静茶七式,The Seven Steps of Mindful Tea
,,初级、中级、高级茶课,"Elementary, Intermediate, Advanced Dhyana Tea session"
,,安心茶室,Dhyana Tea Space
,,安心禅茶传习馆,Dhyana Tea Practice Room
正念咖啡,Dhyana Coffee,,
静心素食,Dhyana Vegan Experience,,
太极正念球,Tai Chi Mindfulness Ball,,
静心插花,Mindful Flower Arrangement,花间觉醒（官方周边）,The Bodhi Bud
禅意设计,Chan-inspired Design,无我，无相，无限，出世，寂静，超然,"No-self, Formlessness, Infinity, Supramundane, Quiescence, Transcendence"
,,无做（注册品牌）,Artless
家庭教育项目,Wise Parenting,,
静心整理,Mindful Decluttering,,
按导养生,Acupressure Massage,,
健康大循环,Holistic Health Circulation,,
正念辅助项目,Supporting Exercises for Mindfulness Meditation,正念呼吸七式,Seven Mindful Exercises for Breathing
,,正念盘坐八式,Eight Mindful Exercises for Lotus Posture
,,正念盘坐呼吸,Mindful Exercises for Lotus Posture and Breathing
空间主理人,Space Curator,,
温暖星球,Infinite Metta,慈心待物，温暖人间,Bringing Warmth to All
静心梵唱,Mindful Peace Chanting,,
