页面,Chinese,English
公共-顶部导航,返回,Back
,首页,Home
,退出,Exit
,帮助,Help
公共-顶部状态信息,您好，,"hello,"
,当前学习进度,Current learning progress
公共,提示,Tips
,未找到数据,No data
主页-页面文本,内容,Content
,根据学习进度，可以看到对应的四种身份(学士、修士、胜士、智士)，以及本阶段的修学要求、定课内容，并可跳转,"According to the learning progress, you can see the corresponding four identities (bachelor, monk, winner, wise man), as well as the study requirements and course content of this stage, and you can jump"
,元日记APP,Yuan Diary App
,至相关的内容学习。,Learn relevant content
,八三禅修,Eight-Step Threefold Meditation
,：通过八步骤三种禅修，学习佛法智慧，完成观念、心态、生命品质的改变。,": Through eight steps and three types of meditation, learn the wisdom of Buddhism and complete changes in concepts, mentality, and quality of life."
,正念禅修,Mindfulness meditation
,：通过三级正念禅修，从训练专注力与觉知力，进一步拓展觉知，到放下觉知，体认无念，完成觉醒的智慧。,": Through three-level mindfulness meditation, from training concentration and awareness to further expanding awareness, to letting go of awareness, realizing the absence of thoughts, and completing the wisdom of awakening."
,利他禅修,Altruistic meditation
,：通过三级利他禅修，从修慈心、世俗菩提心、胜义菩提心，完成慈悲大爱的修行。,": Through the third level of altruistic meditation, you can complete the practice of compassion and great love by cultivating loving-kindness, worldly bodhicitta and ultimate bodhicitta."
,结果检测,Result Check
,通过,Pass
,菩提导航APP,Bodhi Navigator App
,，进行五处用心的管理及其心理建设检测。,", conduct careful management and psychological construction testing in the five areas."
,下一条,Next
,知道了,Got it
,您好，,"Hello,"
,当前学习进度,Current learning progress
,进入元日记学习,Enter Yuan Diary to study
,修学要求,Study requirements
,展开,Expand
,收起,Close
,定课,Daily Practice
,查看更多,View more
,八三禅修,Eight-Step Threefold Meditation
,正念禅修,Mindfulness meditation
,利他禅修,Altruistic meditation
,菩提导航,Bodhi Navigation
,修学要求,Study requirements
主页-修学要求-1,认识并建立真诚、认真、老实的修学态度，以八步三禅修学人生佛教，树立因缘因果正见，解决粗重烦恼。,"Understand and establish a sincere, serious and honest attitude towards study, learn the Buddhism of life through eight-step three meditation, establish the correct view of cause and effect, and resolve gross worries."
,学习佛陀传记，探索生命真谛，思考人生意义。,"Study the biography of Buddha, explore the true meaning of life, and think about the meaning of life."
,开展基础慈心禅修。以听《慈经》为定课，以《初级〈慈经〉的禅修》为引导方法，随文入观，对他人生起友善、关爱之心。学习如何用心做事，培养利他精神，落实慈心修行。把慈心带入生活，认识、建立基础利他心理。,"Develop basic lovingkindness meditation. Take listening to the ""Metta Sutra"" as the lesson, use ""Elementary ""Metta Sutra"" Meditation"" as the guiding method, follow the text to meditate, and develop a friendly and caring heart towards others. Learn how to do things with your heart, cultivate an altruistic spirit, and implement the practice of loving-kindness. Bring kindness into life, understand and establish a basic altruistic mentality."
,开展初级正念禅修。修习《正念盘坐八式》《正念呼吸七式》、《初级正念禅修》、静茶七式、正念八段锦等，安顿身心，认识、建立初级正念及相关心理。,"Develop an elementary mindfulness meditation practice. Practice ""Eight Postures of Mindful Sitting Cross-legged"", ""Seven Postures of Mindful Breathing"", ""Elementary Mindfulness Meditation"", Seven Postures of Quiet Tea, Baduanjin of Mindfulness, etc. to settle the mind and body, understand and establish primary mindfulness and related mental qualities."
,学习《皈依修学手册》，正确认识皈依，为进入修士阶段的修学做准备。,"Study the ""Refuge Study Manual"" to correctly understand refuge and prepare for entering the monk stage of study."
,围绕八三、正念、利他，结合相关阶段的课程完成三种禅修的训练。,"Focusing on eight-three, mindfulness, and altruism, three types of meditation training are completed by combining courses at relevant stages."
主页-修学要求-2,建立并培养真诚、认真、老实的态度；以八步三禅调整观念和心态，解决粗重烦恼。,"Establish and cultivate a sincere, serious and honest attitude; use the Eight-Step Threefold Meditation to adjust your concepts and mentality and resolve gross worries."
,依八步三禅修学，认识道次第的修学要领，并生起相应的心行。,"According to the Eight-Step Threefold Meditation, you can understand the essentials of practicing the lam-rim and generate the corresponding mental actions."
,以“皈依共修”为定课，配合佛随念的禅修，增强对三宝的信心；继续开展初级正念禅修，建立、培养、训练初级正念及相关心理。,"Take ""Refuge Group Practice"" as the daily practice, cooperate with the meditation of recollection of the Buddha, and enhance your confidence in the Three Jewels; continue to carry out primary mindfulness meditation to establish, cultivate and train primary mindfulness and related mental qualities."
,开展初级慈经禅修。修习慈心，在与人相处及服务大众模式中，认识、建立初级利他心理；同时以慈心为基础，建立、培养、训练基础利他心理。,"Start a beginner’s meditation on the Metta Sutra. Practice loving-kindness, understand and establish primary altruistic mental qualities in the mode of getting along with others and serving the public; at the same time, based on loving-kindness, establish, cultivate and train basic altruistic mental qualities."
主页-修学要求-3,依八步三禅修学，认识轮回和解脱的心理，以及转染成净的方法。,"According to the Eight-Step Threefold Meditation, you can understand the mental qualities of cyclic existence and liberation, as well as the method of transforming defilement into purity."
,开展中级正念禅修，立足三十七道品，依托四念处，以正念引导或正念经行为定课，开展正念禅修，拓展觉知力，体会心的清明。或以皈依共修2.0版、佛随念为定课，增强对三宝的信心。认识、建立中级正念及相关心理，同时培养、训练、熟悉初级正念及相关心理。,"Develop intermediate-level mindfulness meditation, based on the Thirty-Seven Factors of Awakening, relying on the Four Mindfulness Foundations, using mindfulness guidance or mindfulness sutras to daily practice, carry out mindfulness meditation, expand awareness, and experience the clarity of the heart. Or take Refuge Group Practice Version 2.0 and recollection of the Buddha as the daily practice to enhance your confidence in the Three Jewels. Understand and establish intermediate mindfulness and related mental qualities, while cultivating, training and becoming familiar with primary mindfulness and related mental qualities."
,继续开展初级慈心禅修，适当修习《中级〈慈经〉的禅修》，在与人相处及服务大众模式中，建立、培养、训练初级利他心理。<br/><br/><b>备注：第二进度学完，再次学习同修的第一进度和第二进度，然后进入第三进度。</b>,"Continue to carry out primary-level loving-kindness meditation, properly practice the ""Intermediate-level ""Metta Sutra"" Meditation, and establish, cultivate, and train primary-level altruistic mental qualities in the mode of getting along with others and serving the public. <br/><br/><b> Note: After finishing the second step, study the first and second steps of fellow practitioners again, and then enter the third step. </b>"
主页-修学要求-4,依八步三禅修习《入菩萨行论》，通过不断的观察修、安住修，对佛菩萨的悲愿和菩提道修行生起胜解，努力实践。,"Practicing ""Entering the Bodhisattva's Way"" according to the Eight-Step Threefold Meditation. Through constant observation and meditation, you will develop a superior understanding of the compassionate wishes of Buddhas and Bodhisattvas and the practice of the Bodhisattva Path, and practice them diligently."
,开展中级世俗菩提心禅修。在《中级〈慈经〉的禅修》的基础上，开展中级世俗菩提心禅修。依无自性空正见，认识并建立无我利他之心；依普贤行愿见地，认识并建立平等心、大悲心；以《菩提心修习仪轨》《慈经》为定课，通过修习七因果、自他相换，发起广大菩提心，正式受持菩提心戒；依广大菩提心修习慈悲心、利他行。,"Develop intermediate-level secular bodhichitta meditation. On the basis of ""Intermediate Meditation on the Loving Kindness Sutra"", carry out intermediate conventional bodhicitta meditation. Rely on the right view of emptiness without self-nature, recognize and establish the mind of selflessness and altruism; rely on the view of Samantabhadra, recognize and establish the mind of equanimity and great compassion; take ""Bodhicitta Practice Ritual"" and ""Metta Sutra"" as the prescribed courses, and practice the seven causes and effects and the exchange of self and others to initiate the vast bodhicitta and formally accept and uphold the bodhicitta precept; practice compassion and altruistic behavior according to the vast bodhicitta."
,在与人相处及服务大众模式中，认识、建立中级利他心理，同时以世俗菩提心为基础，培养、训练、熟悉初级利他心理。,"In the mode of getting along with others and serving the public, understand and establish intermediate altruistic mental qualities. At the same time, based on conventional bodhicitta, cultivate, train and become familiar with primary altruistic mental qualities."
