中文,英文,摘自,Comments
静心学堂,the Mindful Peace Academy,,
静心学堂丛书,the Mindful Peace Academy Collection,,
"三级修学(模式)/
静心学堂课程",the Mindful Peace Academy Program,正念禅修的要领,
修学模式,the approaches of study ,开启正念与慈悲大爱,是否首字母大写？
服务大众模式,the approaches of service to the public,开启正念与慈悲大爱,是否首字母大写？
菩提导航应用,the Bodhi Navigator App,正念禅修的要领,
正念生活日记,the mindfulness daily journal,正念禅修的要领,是否首字母大写？
利他禅修周记,Altruistic Meditation Weekly Journal,开启正念与慈悲大爱,
三级正念禅修,the three levels of mindfulness meditation,正念禅修的要领,是否首字母大写？
初级禅修,beginner meditation,正念禅修的要领,是否首字母大写？
中级禅修,intermediate meditation,正念禅修的要领,是否首字母大写？
高级禅修,advanced meditation,正念禅修的要领,是否首字母大写？
三级利他禅修,the three types of altruistic medication,开启正念与慈悲大爱,是否首字母大写？
慈心、感恩、随喜、理解、同情、接纳、布施、悲悯心、陪伴、关爱、引导、爱语、利行、同事、忍辱、大悲心、菩提心、平等心、无我利他、无所得心、无住,"loving-kindness, gratitude, empathetic joy, understanding, sympathy, acceptance, generosity, compassionate heart, companionship care, guidance, kind speech, beneficial actions, collaboration, patience, great compassion, bodhicitta, equanimity, no-self and altruism, the mind of non-attainment, and non-abidance",开启正念与慈悲大爱,
八步三禅,the Eight Steps and Three Meditations,正念禅修的要领,
真诚,Honesty,八步骤三种禅修,
认真,Earnestness,八步骤三种禅修,
老实,Commitment,八步骤三种禅修,
理解、接受、运用,"understanding, accepting, and applying",八步骤三种禅修,是否首字母大写？
观念、心态和生命品质,"views, mindsets, and life quality",八步骤三种禅修,是否首字母大写？
观察修,Contemplative Meditation,八步骤三种禅修,
安住修,Abiding Meditation,八步骤三种禅修,
静修营,retreat camp,茶与禅的修行,
养成营,training camp,茶与禅的修行,
辅助员,class assistant,八步骤三种禅修,
辅导员,advisor,八步骤三种禅修,
实习辅导员,assistant advisor,八步骤三种禅修,是否首字母大写？
初级辅导员,junior advisor,八步骤三种禅修,是否首字母大写？
中级辅导员,intermediate advisor,八步骤三种禅修,是否首字母大写？
高级辅导员,senior advisor,八步骤三种禅修,是否首字母大写？
静心慢生活,a mindful and slow-paced life,茶与禅的修行,
茶专项,a tea-specific initiative,茶与禅的修行,
静茶七式,Seven Steps to Mindful Tea,正念禅修的要领,
丁香茶会,Lilac Tea Ceremony,正念禅修的要领,
初级茶会,the beginner tea ceremony,正念禅修的要领,是否首字母大写？
中级茶会,the intermediate tea ceremony,正念禅修的要领,是否首字母大写？
中级茶课,the intermediate tea course,正念禅修的要领,是否首字母大写？
甘露别院/别院,Amrita Retreat Center,正念禅修的要领,
正念钟,the mindfulness bell,开启正念与慈悲大爱,是否首字母大写？
启明堂,,,
大觉堂,the Enlightenment Hall,,
大讲堂(选佛场),the Grand Lecture Hall (Meditation Hall),甘露别院导览,
静心服务中心(南北主楼、多功能接待中心),"the Mindful Peace Service Center (with 
the North and South Wing of the Main Building and a Multifunctional Re_x0002_ception Center)",甘露别院导览,
义工之家,"the Volunteer Center,",甘露别院导览,
静心图书馆,the Mindful Peace Library,甘露别院导览,
养生素食餐厅,a nourishing Vegetarian Restaurant,甘露别院导览,
沿湖观景平台,the Lakeside Viewing Deck,甘露别院导览,
正念之路,the Path of Mindfulness,甘露别院导览,
正觉塔,the Perfect Awakening Pagoda,甘露别院导览,
拈花广场,the Flower Sermon Square,甘露别院导览,
红枫大道,the Red Maple Avenue,甘露别院导览,
觉醒之道,The Path to Awakening,觉醒之道slogan,
同愿同行，共同成长,"Shared Vows, Shared Path, Shared Future",觉醒之道slogan,
智慧人生课程,courses on Wisdom Living,东方智慧在当今世界的价值,
正念,mindfulness,东方智慧在当今世界的价值,
禅茶,tea meditation,东方智慧在当今世界的价值,
断舍离,Danshari,东方智慧在当今世界的价值,
八段锦,Qigong Baduanjin,东方智慧在当今世界的价值,
按导养生,acupressure massage,东方智慧在当今世界的价值,
茶道,Tea Ceremony,东方智慧在当今世界的价值,
素食,vegetarianism,东方智慧在当今世界的价值,
菩提书院,the Bodhi Academy,东方智慧在当今世界的价值,
六步成长,Six-Step Development Process,东方智慧在当今世界的价值,
善士,the Virtuous,,
学士,the Scholarly,,
修士,the Practitioner,,
胜士,the Victorious,,
智士,the Sagacious,,
同喜班,Tongxi,,
西园寺,"Suzhou West Garden Monastery of Vinaya School / 
Suzhou West Garden Monastery",,
皈依修学手册,A Guide to Taking Refuge and Studying Buddhism,开启正念与慈悲大爱,
安心茶室,Dhyana Tea Space,佛法在家庭教育中的运用,
茶专项组,the tea team,煮茶观心,
静修营,the meditation retreat,煮茶观心,
管住自己,maintain sefl-discipline,煮茶观心,
茶专项组,the tea project team,煮茶观心,
良好的氛围,a supportive atmosphere,生命的自觉与自由,
学习、交流,"study, share insights",生命的自觉与自由,
做义工、做慈善,engage in volunteer work or charity,生命的自觉与自由,
静心慢生活,a mindful and slow-paced life,以茶入禅,
课件,study materials,以茶入禅,
静场七事,Seven Steps of Mindful Space,以茶入禅,
双语静心使者,Bilingual Mindful Peace Ambassador,观轩，慈德确认,
正念球,Tai Chi Mindfulness Ball,传承国学,
八段锦,Baduanjin exercises,传承国学,
按导,acupressure massage,传承国学,
健康大循环,Wholistic Healthy Circulation,传承国学,
静心小院,Mindful Peace Yard,传承国学,
