中文,英文,摘自,Comments
杯弓蛇影,the shadow of a bow mistaken for a snake in a cup,《心经》的禅观,
基督教(徒),Christian,《心经》的禅观,
唯物论者,materialist,《心经》的禅观,
神创论,theism,《心经》的禅观,
偶然论,fortuitism,《心经》的禅观,
无妄之灾,an unwarranted disaster,《心经》的禅观,
靠山,external support,向观音菩萨学修行,
民间宗教,folk religions,向观音菩萨学修行,
附佛外道,pseudo-Buddhist sects/fake Buddhist sects,向观音菩萨学修行,
邪教,cult,当代宗教信仰问题的思考,
邪教组织,cult organizations,向观音菩萨学修行,
姚秦,Yao Qin Dynasty,向观音菩萨学修行,
可望而不可即,seem close but continue to evade,心灵创造幸福,
水中捞月,try to catch the moon’s reflection on the water,心灵创造幸福,
按部就班地生活,enjoy a predictable life,心灵创造幸福,
一蹶不振,succumb to despair,心灵创造幸福,
怨天尤人,point fingers at fate or others,心灵创造幸福,
泰然处之,confront with composure,心灵创造幸福,
相敬如宾,cherish and care for each other,心灵创造幸福,
颐养天年,live to an old age and enjoy one’s twilight years in peace,心灵创造幸福,
文人士大夫,literati/scholar-officials,心灵创造幸福/人工智能时代,
孔子,Confucius,人工智能时代,
儒家,Confucianism,人工智能时代,
道家,Taoism,人工智能时代,
修身齐家,"self-cultivation, family regulation",人工智能时代,
梵我一如,oneness of the individual and the Absolute/Unity between Brahman and the Self,"人工智能时代/
禅意设计“十二字箴言”",
大梵,Brahman,人工智能时代,
快乐主义/享乐主义,Epicureanism,人工智能时代,
完善主义,Perfectionism,人工智能时代,
人本主义,Humanism,人工智能时代,
功利主义,Utilitarianism,当代宗教信仰问题的思考,
斯多葛派,Stoicism,人工智能时代,
安贫乐道,be content with simple living and devoted to truth,人工智能时代,
趋乐避苦,avoid harm and seek pleasure,人工智能时代,
法治,the rule of law,人工智能时代,
人类命运共同体,a community with a shared future for humanity,人工智能时代,
孟子 道德的四端,Four Initiators of Morality,人工智能时代,
铤而走险,engage in risky behaviors and venture into dangerous legal territories,人工智能时代,
应酬,social engagements,人工智能时代,
化繁为简,simplify complex matters,人工智能时代,
本体世界,ontological world,人工智能时代,
本体论,ontology,人工智能时代,
形而上学,metaphysics,人工智能时代,
物极必反,"When things reach their extremes, they can rebound.",人工智能时代,
古圣先贤,ancient sages,当代宗教信仰问题的思考,
消极避世,pessimism and reclusion,当代宗教信仰问题的思考,
算命,fortune-telling,当代宗教信仰问题的思考,
看相,physiognomy,当代宗教信仰问题的思考,
多神论,polytheism,当代宗教信仰问题的思考,
二神论,duotheism,当代宗教信仰问题的思考,
一神论,monotheism,当代宗教信仰问题的思考,
无神论,nontheism,当代宗教信仰问题的思考,
无神论者,atheist,当代宗教信仰问题的思考,
提倡科学,Elevate Science,当代宗教信仰问题的思考,
破除迷信,Eliminate Superstition,当代宗教信仰问题的思考,
双刃剑,a double-edged sword,当代宗教信仰问题的思考,
取缔,outlaw,当代宗教信仰问题的思考,
蛊惑人心的,demagogic,当代宗教信仰问题的思考,
社会达尔文主义,Social Darwinism,当代宗教信仰问题的思考,
进化论,evolutionism,当代宗教信仰问题的思考,
三纲五常,Three Principles and Five Virtues,当代宗教信仰问题的思考,
人类中心论,anthropocentrism,禅意设计“十二字箴言”,
生态中心主义,ecocentrism,禅意设计“十二字箴言”,
脑洞大开,mind-blowing,禅意设计“十二字箴言”,
物我两忘,forget both the outside and inside world,禅意设计“十二字箴言”,
无穷妙用,be of infinite wondrous uses,禅意设计“十二字箴言”,
纸上谈兵,an armchair theory,禅意设计“十二字箴言”,
