中文,英文,摘自
你的认识，决定了世界的存在。,Our perception determines the existence of the world.,禅意设计“十二字箴言”
正确认识，可以导向真理，导向智慧；错误认识，则会导向烦恼，导向轮回,Correct understandings lead us to truth and wisdom whereas wrong understandings lead us to afflictions and cyclic existence.,禅意设计“十二字箴言”
每个有限的当下，都蕴含着无限（的可能）,Every finite present moment contains infinite possibilities,禅意设计“十二字箴言”
缘起的当下就是性空。,The immediate present moment of dependent arising is inherently empty.,生命的痛苦及其解脱
缘起与性空不二。,Dependent Origination and the emptiness of self-nature are non-dual.,生命的痛苦及其解脱
缘起有与自性空为一体。,The phenomena of the Dependent Origination and the emptiness of self-nature are one.,生命的痛苦及其解脱
空是建立在缘起有的当下。,The emptiness is actually based on the dependently originated existence.,生命的痛苦及其解脱
这一刻，让红尘不到。,"In that moment, let the distractions of the mundane world fade away",茶与禅的修行
在茶汤中体会禅味，在尘世中感受清凉。,Experience the essence of Chan in a cup of tea and feel tranquility amidst daily life.,茶与禅的修行
佛陀出世对人类最大的意义，就是发现每个众生都有觉醒潜质，有自我拯救的能力。,The greatest significance of Buddha’s presence to humanity is the revelation that every sentient being has the potential to awaken and the capacity for self-liberation.,开启正念与慈悲大爱
每个生命内在都有觉醒潜质，即空明不二之心。,"All life inherently possesses the potential for awakening, the non-dualistic mind of emptiness and enlightenment.",开启正念与慈悲大爱
每个众生都有觉醒的潜质，都能成佛。,Every sentient being has the potential for awakening and can become a buddha.,开启正念与慈悲大爱
把禅修贯穿到座下，真正和生活打成一片。,"Extend meditation beyond the cushion, and truly merge it with daily living",开启正念与慈悲大爱
悲无尽，不以时空为限；愿无边，不以山海为远。,"Limitless compassion, unlimited by time and space; Boundless aspiration, unbounded by mountains and rivers.",
文以载道，译复如是,"Words convey the way, likewise for translation",东方智慧在当今世界的价值-文以载道
让做事成为修行,"approach your work as a form of cultivation practice
make doing things a form of practice",东方智慧在当今世界的价值-文以载道
无念才是最高的正念,no-thought repressents the hightest form of Right Mindfulness,正念禅修的要领
心的本质就是宇宙的本质,The essence of the universe is indeed the essence of the mind.,四无量心的禅修
安住于觉性的心，像镜子那样遍照一切，却不留半分，物来影现，物去无痕,"A mind dwelling in awakened nature is like a mirror reflecting everything without retaining anything; when objects come, their reflections appear, and when they go, no trace is left. ",《六祖坛经》与心理治疗
心本身是具足一切的。,The mind inherently encompasses everything.,以茶入禅
心月朗照，安住当下,"The Mind Shining like the Moon, Settling in the Present Moment",以茶入禅
禅的本质就是我们内在觉醒、清明的心。,The essence of Chan is the awakened mind—pure and clear within us.,以茶入禅
你是什么，比你拥有什么更重要。,Who you are is much more important than what you own.,传承国学
在生活中修行，在修行中生活,"Practicing in life, living in practice.",行到水穷处
