中文,英文,摘自,
心经,the Heart Sutra,《心经》的禅观,
般若波罗蜜多心经,"the Prajna Paramita Heart Sutra
the Heart Sutra",《心经》的禅观,
金刚经,the Diamond Sutra,《心经》的禅观,
大品般若经,the Great Sutra on Perfect Wisdom,《心经》的禅观,
中论,the Root Verses on the Middle Way,《心经》的禅观,
百论,the One-Hundred-Verses Treatise,《心经》的禅观,
十二门论,the Twelve Gates Treatise,《心经》的禅观,
大般若经,the Maha-prajna-paramita-sutra/the Great Prajnaparamita Sutra,"《心经》的禅观
东方智慧在当今世界的价值",
地藏菩萨本愿经,the Sutra of the Fundamental Vows of the Bodhisattva Ksitigarbha,《心经》的禅观,
佛说阿弥陀经,the Amitabha Sutra,《心经》的禅观,
六祖坛经,the Platform Sutra of the Sixth Patriarch,《心经》的禅观,
坛经,the Platform Sutra,《心经》的禅观,
华严经,the Avatamsaka Sutra (Flower Ornament Sutra),《心经》的禅观,
七十空性论,the Seventy Verses on Emptiness,《心经》的禅观,
千手千眼大悲心陀罗尼经,"the Thousand-Handed and Thousand-Eyed Guanyin Bodhisattva’s Vast, Perfect, Unimpeded, Great-Compassionate Heart Dharani Sutra",向观音菩萨学修行,
千光眼观自在菩萨秘密法经,the Secret Dharma Sutra of a Thousand Radiating Eyes of Guanyin Bodhisattva,向观音菩萨学修行,
悲华经,the Compassionate Lotus Sutra,向观音菩萨学修行,
楞严经,the Surangama Sutra,向观音菩萨学修行,
普门品,the Lotus Sutra’s Universal Gate of Guanyin Bodhisattva,向观音菩萨学修行,
易经,the Book of Changes,心灵创造幸福,
杂阿含经,the Samyuktagama,心灵创造幸福,
老子,the Book of Lao Tzu,心灵创造幸福,
奥义书,the Upanishads,人工智能时代,
淮南子,Huainanzi,人工智能时代,
般若经,the Prajnaparamita Sutras,人工智能时代,
善生经,the Sigalovada Sutta,当代宗教信仰问题的思考,
大智度论,the Treatise on the Great Perfection of Wisdom,当代宗教信仰问题的思考,
瑜伽师地论,the Yogacarabhumi-Sastra,当代宗教信仰问题的思考,
成唯识论,the Discourse on the Theory of Consciousness-Only,生命的痛苦及其解脱,
十善业道经,the Sutra on the Ten Wholesome Actions,生命的痛苦及其解脱,
四十二章经,the Sutra in Forty-Two Sections,生命的痛苦及其解脱,
中论,the Treatise on the Middle Way,生命的痛苦及其解脱,
宗门拈古汇集,the Collection of Ancient Chan Teachings,茶与禅的修行,
景德传灯录,the Jingde Record of the Transmission of the Lamp,茶与禅的修行,
茶经,the Classic of Tea,茶与禅的修行,
清规,the Pure Rules,茶与禅的修行,
大观茶论,the Treatise on Tea,茶与禅的修行,
碧岩录,the Blue Cliff Record,茶与禅的修行,
辨修对治品,the Discussion of the Cultivation of Antidotes,正念禅修的要领,
三十七道品,"the Thirty-Seven Aids to Enlightenment
thirty-seven factors of enlightenment","正念禅修的要领
开启正念与慈悲大爱",
景德传灯录,the Record of the Transmission of the Lamp,正念禅修的要领,
念处经/大念处经,the Satipatthana Sutta,正念禅修的要领,
信心铭,the Faith in Mind,正念禅修的要领,
百法,the Treatise on the Hundred Dharmas,正念禅修的要领,
五灯会元,the Record of the Source Mirror of the Five Lamps,正念禅修的要领,
指月录,the Records of Pointing at the Moon,正念禅修的要领,
百丈清规,the Regulations of the Baizhang Monastery,正念禅修的要领,
法华经,the Lotus Sutra,开启正念与慈悲大爱,
大念住经,the Maha Satipatthana Sutta,开启正念与慈悲大爱,
道次第,the Lam-rim (Gradual Path to Enlightenment),开启正念与慈悲大爱,
百法明门论,Lucid Introduction to the One Hundred Dharmas,开启正念与慈悲大爱,
辩中边论,Discerning the Middle and the Extremes,开启正念与慈悲大爱,
辩中边论·辩修对治品,the fourth chapter of Discerning the Middle and the Extremes,开启正念与慈悲大爱,
入菩萨行论,Bodhicharyavatara (The Way of the Bodhisattva),开启正念与慈悲大爱,
瑜伽菩萨戒品,the Yogacara Bodhisattva Precepts,开启正念与慈悲大爱,
妙法莲花经,the Lotus Sutra,东方智慧在当今世界的价值,
大智度论,the Mabaprajnaparamita Sastra,东方智慧在当今世界的价值,
肇论,Zhao Lun,东方智慧在当今世界的价值,
维摩经,the Vimalakirti Sutra,东方智慧在当今世界的价值,
摩诃般若波罗蜜经,"the Perfection of Wisdom in 25,000 Line",东方智慧在当今世界的价值,
历代三宝纪,the Records of the Three Treasures Throughout the Successive Dynasties,东方智慧在当今世界的价值,
正法华·受决品,the Chapter Announcement of the Future Destiny of the Five Hundred Monks,东方智慧在当今世界的价值,
长阿含经,the Dirgha Agama (Long Discourses of the Buddha),四无量心的观修,
增一阿含经,the Ekottara Agama (Numerical Discourses of the Buddha),四无量心的观修,
佛本经集经,the Abhiniskramana Sutra (Sutra of Great Renunciation),四无量心的观修,
中阿含经,the Madhyama Agama (Middle-Length Discourses),四无量心的观修,
梵网经,the Brahmajala Sutra,四无量心的观修,
普贤行愿品,the Practices and Vows of Samantabhadra Bodhisattva,四无量心的观修,
大正藏,Taisho Tripitaka,凡圣只在迷悟间,
楞伽经,Lankavatara Sutra,凡圣只在迷悟间,
如来藏经,Tathagatagarbha Sutra,凡圣只在迷悟间,
涅槃经,Nirvana Sutra,凡圣只在迷悟间,
解深密经,Sandhinirmocana Sutra,凡圣只在迷悟间,
唯识三十论,Thirty Verses on Consciousness-Only,凡圣只在迷悟间,
大般涅槃经,The Mahaparinirvana Sutra,佛教的世界观,
阿含经,the Agama Sutra,佛教的世界观,
唯识二十论,the Twenty Verses on Consciousness-Only,佛教的世界观,
卢舍那佛品,the Chapter on Vairocana Buddha,佛教的世界观,
十行品,the Chapter on the Ten Practices,佛教的世界观,
十明品,the Chapter on the Ten Pervasive Knowledges,佛教的世界观,the Chapter on the Ten Illuminations
大正藏,the Taisho Tripitaka,佛教的世界观,
维摩诘所说经,the Vimalakirti Nirdesa Sutra,佛教的世界观,
起世因本经,the Agganna Sutra (The Sutra on the Origin of the World),佛教的世界观,
禅藏,the Chan Collection,煮茶观心,
圆觉经,the Sutra of Perfect Enlightenment,煮茶观心,
景德传灯录,the Jingde Record of the Transmission of the Lamp,煮茶观心,
灯录,the Records of the Lamp,煮茶观心,
五灯会元,The Compendium of the Five Lamps,煮茶观心,
维摩诘经,the Vimalakirti Sutra,,
