中文,英文,摘自,Comments
凡,the worldlings,《心经》的禅观,
凡夫,the ordinary people,《心经》的禅观,
凡夫心,"the mindset of an ordinary being
an unenlightened mind
the mundane mind","《心经》的禅观
向观音菩萨学修行
以茶入禅",
凡夫的境界,the realm of ordinary beings,《心经》的禅观,
圣,the enlightened/saint,《心经》的禅观/生命的痛苦及其解脱,
证果的圣者,enlightened sages,心灵创造幸福,
迷,delusion,《心经》的禅观,
觉/悟/觉悟/觉醒,awaken/awakening/enlightenment,《心经》的禅观/向观音菩萨学修行,
破迷开悟,"break through confusion and attain enlightenment
dispel ignorance and attain enlightenment
eradicate all delusions, and attain enlightenment","《心经》的禅观
当代宗教问题
禅意设计“十二字箴言”",
明,"light/luminosity/
clarity","《心经》的禅观
正念禅修的要领",
明的力量,the power of clarity,《心经》的禅观,
心本具的明性,the inherent clarity of the mind,《心经》的禅观,
佛性,the Buddha-nature,心灵创造幸福,
魔性,the demonic-nature,心灵创造幸福,
人性,the human nature,人工智能时代,
人心,the human mind,人工智能时代,
明心见性,"understanding our true nature/recognize the Buddha-nature/
realize the nature of the mind/understand oneself","《心经》的禅观/心灵创造幸福/
人工智能时代/生命的痛苦和解脱",
觉性,the nature of awakening/awakened nature/the Buddha-nature,《心经》的禅观/心灵创造幸福,
显现觉性,unveil one's awakened nature,向观音菩萨学修行,
开显觉性,reveal one's awakened nature/reveal one's Buddha-nature,向观音菩萨学修行/心灵创造幸福,
契入觉性,realize the awakened nature,向观音菩萨学修行,
证悟觉性,realize the Buddha-nature,人工智能时代,
回归觉性,return to one's awakened nature,向观音菩萨学修行,
安住于觉性,ground in the awakened nature,向观音菩萨学修行,
本自具足的觉性,the inherently complete and perfect Buddha-nature,人工智能时代,
觉悟/悟道,attain enlightenment,《心经》的禅观,
觉者,The Enlightened One,《心经》的禅观,
觉醒的潜质,the potential for awakening,《心经》的禅观,
成就觉醒,achieve enlightenment,《心经》的禅观,
正,righteousness,《心经》的禅观,
净/清净,purity,《心经》的禅观,
清净的,pure/calm,向观音菩萨学修行/心灵创造幸福,
清净心,pure mind,《心经》的禅观,
,a pure and clean mind/a pure heart,向观音菩萨学修行,
遮蔽,veil,《心经》的禅观,
迷惑,confusion,《心经》的禅观,
解除迷惑,dispell delusion/dispel confusion,《心经》的禅观/心灵创造幸福,
断除迷惑,eliminate confusion,《心经》的禅观,
解脱迷惑烦恼,liberate from confusion and affliction,《心经》的禅观,
看清真相,see the truth,心灵创造幸福,
智慧的,wise,《心经》的禅观,
开启智慧,unlock wisdom/awaken wisdom/cultivate wisdom,《心经》的禅观/向观音菩萨学修行,
般若智慧,the wisdom of Prajna/the Prajna wisdom,《心经》的禅观,
开发般若智慧,develope Prajna wisdom,《心经》的禅观,
开显般若智慧,unveil the wisdom of Prajna,《心经》的禅观,
迷失智慧,obscure wisdom,《心经》的禅观,
智慧光明,the illumination of wisdom/the light of wisdom,《心经》的禅观,
开启智慧光明,unlock the light of wisdom,《心经》的禅观,
无漏智慧,wisdom free from defilements,《心经》的禅观,
有如来智慧德相,possess the wisdom and virtues of the Tathagata,《心经》的禅观,
有成佛的潜力,have the potential to reach Buddhahood,《心经》的禅观,
圆满佛果,reach Buddhahood,向观音菩萨学修行,
成就圆满的智慧和慈悲,attain perfect wisdom and compassion,心灵创造幸福,
学佛,learn/study/practice Buddhism,《心经》的禅观,
功课,obligation,向观音菩萨学修行,
日常定课,daily recitation,《心经》的禅观,
念(名号),chant,《心经》的禅观,
念佛,recite the Buddha’s name,向观音菩萨学修行,
忆佛,recall the Buddha’s presence,向观音菩萨学修行,
都摄六根,calm the six sense faculties,向观音菩萨学修行,
净念相续,continuously chant with a pure mind,向观音菩萨学修行,
念诵(经文),recite,《心经》的禅观,
诵经,recite sutras,向观音菩萨学修行,
修行,"practice
spiritual practice","《心经》的禅观
人生五大问题",
修行,,,
修行要领,the essence of practice,《心经》的禅观,
修行纲领,the guiding principle of practicing,《心经》的禅观,
个人修行,individual cultivation,向观音菩萨学修行,
佛法修行,"Buddhist practice
Buddhist cultivation","向观音菩萨学修行
凡圣只在迷悟间",
修行结果,outcomes of practice,《心经》的禅观,
禅修/禅定,meditation/meditation practice/Chan practice,《心经》的禅观/茶与禅的修行,
观/观照,contemplation/observe,《心经》的禅观,
观照力,the power of observation/observational skill,《心经》的禅观/向观音菩萨学修行,
智慧观照,wisely observe/observe with wisdom/Vipashyana,《心经》的禅观/向观音菩萨学修行,
有造作的观照,discriminative observation,向观音菩萨学修行,
无造作的观照,non-discriminative observation,向观音菩萨学修行,
观智/观照的智慧,contemplative wisdom/reflective prajna/the wisdom of observation,《心经》的禅观/人工智能时代,
照破,see through,《心经》的禅观,
照见,illuminate,《心经》的禅观,
止/止禅,Samatha (concentration meditation)/Samatha meditation/concentration/samatha,《心经》的禅观/向观音菩萨学修行,
止禅,Samatha (calm meditation),禅意设计“十二字箴言”,
观禅/内观禅修,"Vipassana (observation meditation)/Vipassana meditation
Vipassana (insight meditation)","《心经》的禅观
禅意设计“十二字箴言”",
专注呼吸,focus on the breath,《心经》的禅观,
觉知,be aware of,《心经》的禅观,
觉知力,awareness,向观音菩萨学修行,
了了分明,clear/perceive all things clearly,向观音菩萨学修行,
了了明知,"reflect everything clearly and completely/
luminous knowing/clear and aware/clearly knowing
clear awareness/clear and complete awareness","《心经》的禅观/
正念禅修的要领
以茶入禅",
经行,walking meditation,《心经》的禅观,
见地,"perspective
insight","《心经》的禅观
凡圣只在迷悟间",
正见,the Right View,《心经》的禅观,
学习正见,acquire right views,向观音菩萨学修行,
建立正见,establish the right view,《心经》的禅观,
获得正见,attain right views,向观音菩萨学修行,
宗派,sect/school/sub-sect,《心经》的禅观/向观音菩萨学修行,
法门,Dharma Gate/teaching/method,《心经》的禅观/向观音菩萨学修行,
修行法门,"Dharma Gate (methods of practice)
the path of practice","向观音菩萨学修行
凡圣只在迷悟间",
xx菩萨的法门,teachings of xx bodhisattvas,向观音菩萨学修行,
般若法门,the teachings of prajna (wisdom),向观音菩萨学修行,
践行xx菩萨的法门,adhering to xx's teachings,向观音菩萨学修行,
修净土法门,practice the Pure Land method,《心经》的禅观,
净土宗,the Pure Land Sect,向观音菩萨学修行,
禅宗,Chan Buddhism/Chan school,《心经》的禅观/《六祖坛经》与心理治疗,
中观/中道,the Middle Way (Madhyamaka),《心经》的禅观/生命的痛苦及其解脱,
中观正见,the Middle Way (Madhyamaka) view/the right view of the Middle Way,《心经》的禅观,
般若正见,the right view of Prajna/the Prajna view,《心经》的禅观,
般若思想,"the Prajnaparamita thought
the Prajnaparamita teachings
the philosophy of Prajnaparamita","《心经》的禅观
东方智慧在当今世界的价值-文以载道
东方智慧在当今世界的价值-文以载道",
谈空说无,emphasize emptiness and non-being,《心经》的禅观,
般若系经典,the Prajnaparamita (Perfection of Wisdom) class of Buddhist sutras,《心经》的禅观,
般若经典,the Prajna sutras,《心经》的禅观,
般若正观,the correct observation of the Prajna wisdom,《心经》的禅观,
文字般若,the Prajna of texts/learned prajna,《心经》的禅观/向观音菩萨学修行,
观照般若,the Prajna of contemplation/reflective prajna,《心经》的禅观/向观音菩萨学修行,
实相般若,the Prajna of ultimate reality/cultivational prajna (prajna gained by direct experience),《心经》的禅观/向观音菩萨学修行,
甚深般若,deep Prajna Paramita,向观音菩萨学修行,
行深般若,practice deep Prajna Paramita,向观音菩萨学修行,
般若波罗蜜多,Prajna Paramita/prajnaparamita,《心经》的禅观,
佛经,Buddhist sutra,《心经》的禅观,
佛法,"the Dharma
Buddha Dharma
Buddhist teachings","《心经》的禅观
心灵创造幸福
从佛法视角谈“断舍离”",
经典,sutras/scriptures,《心经》的禅观/向观音菩萨学修行,
教言/教理,teachings/doctrine,《心经》的禅观,
玄奘三藏,the Tripitaka Master Xuanzang,《心经》的禅观,
生命体,living entity,《心经》的禅观,
五蕴,the Five Aggregates/five skandhas,《心经》的禅观/人工智能时代,
色,form,《心经》的禅观,
想,cognition,《心经》的禅观,
行（五蕴）,mental formations,《心经》的禅观,
识（五蕴）,consciousness,《心经》的禅观,
情感/情绪,emotions,《心经》的禅观,
意志造作,actions of will,《心经》的禅观,
五蕴皆空,Five Aggregates are all empty;,《心经》的禅观,
色身,"the physical body
the physical self","向观音菩萨学修行
心灵创造幸福",
五蕴色身,the physical body comprised of the Five Aggregates,《心经》的禅观,
五蕴身心,the Five Aggregates of body and mind,《心经》的禅观,
十二处,the Twelve Bases,《心经》的禅观,
六根,"the Six Internal Bases/six sense organs
six senses","《心经》的禅观
从佛法视角谈“断舍离”",
眼,eyes,《心经》的禅观,
耳,ears,《心经》的禅观,
鼻,nose,《心经》的禅观,
舌,tongue,《心经》的禅观,
身,body,《心经》的禅观,
意,mind,《心经》的禅观,
六尘,the Six External Bases/the Six Dusts (sensory fields),《心经》的禅观/禅意设计“十二字箴言”,
色（六尘）,sights,《心经》的禅观,
声,sounds,《心经》的禅观,
香,smells,《心经》的禅观,
味,tastes,《心经》的禅观,
触（六尘）,objects of touch,《心经》的禅观,
法,dharmas,《心经》的禅观,
六识,six types of consciousness,《心经》的禅观,
眼识,eye consciousness,《心经》的禅观,
耳识,ear consciousness,《心经》的禅观,
鼻识,nose consciousness,《心经》的禅观,
舌识,tongue consciousness,《心经》的禅观,
身识,body consciousness,《心经》的禅观,
意识,mind consciousness/consciousness,《心经》的禅观/生命的痛苦及其解脱,
末那识,the Manas consciousness,生命的痛苦及其解脱,
阿赖耶识,the Alaya consciousness,生命的痛苦及其解脱,
十八界,the Eighteen Elements,《心经》的禅观,
十二因缘/十二缘起,the Twelve Links of Dependent Origination,《心经》的禅观,
无明,ignorance/delusion,《心经》的禅观,
断除无明,eliminate ignorance,《心经》的禅观,
为无明所惑,be veiled by delusion,向观音菩萨学修行,
行（十二因缘）,formations,《心经》的禅观,
识（十二因缘）,consciousness,《心经》的禅观,
名色,name and form,《心经》的禅观,
六入,six sense bases,《心经》的禅观,
触（十二因缘）,contact,《心经》的禅观,
受（十二因缘）,feeling,《心经》的禅观,
爱,craving,《心经》的禅观,
取,grasping,《心经》的禅观,
有,becoming,《心经》的禅观,
生,birth,《心经》的禅观,
老,old age,《心经》的禅观,
死,death,《心经》的禅观,
六道,the six realms,向观音菩萨学修行,
生死轮回/六道轮回,"the cycle of samsara (the cycle of birth and death)/samsara/
the cycle of existence/the cycle of rebirth",《心经》的禅观/向观音菩萨学修行,
轮回的支撑,the fulcrums of samsara,《心经》的禅观,
轮回的因果,the causality of samsara,《心经》的禅观,
解脱的因果,the causality of liberation,煮茶观心,
周而复始,cycle endlessly,《心经》的禅观,
摆脱,free oneself from,《心经》的禅观,
解脱,liberation,《心经》的禅观,
成就解脱,achieve liberation/achieve nirvana,《心经》的禅观/人工智能时代,
解脱自在,liberation and ease,《心经》的禅观,
解脱自在的人生,a life of liberation and freedom,《心经》的禅观,
成就解脱自在的人生,achieve a life of liberation and ease,《心经》的禅观,
自在无碍,achieve absolute freedom,向观音菩萨学修行,
自主,autonomy,《心经》的禅观,
自在,freedom,《心经》的禅观,
得大自在,achieve great freedom/achieve ultimate freedom,《心经》的禅观,
观自在,“Avalokiteshvara” (Contemplate with Perfect Ease),《心经》的禅观,
观自在菩萨,Avalokiteshvara (Guan Zi Zai) Bodhisattva,《心经》的禅观,
观自在禅修营,Guanzizai Meditation Camp,向观音菩萨学修行,
彼岸,the other shore,《心经》的禅观,
到彼岸,reach the other shore,《心经》的禅观,
涅槃,nirvana,《心经》的禅观,
体认涅槃,realize nirvana,《心经》的禅观,
般涅槃/入灭,enter nirvana,向观音菩萨学修行,
造业,create karma,《心经》的禅观,
造(恶)业,create negative karma,向观音菩萨学修行,
造业感果,generate karma and experience its results,《心经》的禅观,
苦果,suffering results,生命的痛苦及其解脱,
业力,the force of karma/the karmic energy,《心经》的禅观/人工智能时代,
四谛（法门）,the Four Noble Truths,《心经》的禅观,
苦/苦谛,suffering,《心经》的禅观,
痛苦,suffering/pain,《心经》的禅观,
集/集谛,"accumulation
the cause of suffering","《心经》的禅观
煮茶观心",
灭/灭谛,"cessation
the cessation of suffering","《心经》的禅观
煮茶观心",
道/道谛,the path,《心经》的禅观,
八正道,the Noble Eightfold Path,《心经》的禅观,
正思惟,the Right Contemplation,当代宗教信仰问题的思考,
正语,the Right Speech,当代宗教信仰问题的思考,
正业,the Right Action,当代宗教信仰问题的思考,
正命,the Right Livelihood,当代宗教信仰问题的思考,
正精进,the Right Effort,当代宗教信仰问题的思考,
正念,"the Right Mindfulness
mindfulness","当代宗教信仰问题的思考
正念禅修的要领",
正定,the Right Concentration,当代宗教信仰问题的思考,
我,self/me,向观音菩萨学修行/心灵创造幸福,
形相/相,form,《心经》的禅观,
我、人、众生、寿者相,"the forms of the self, others, sentient beings and everything",生命的痛苦及其解脱,
我相,form of self,《心经》的禅观,
无我,no-self,《心经》的禅观,
无我相,no form of self,《心经》的禅观,
人相,form of others,《心经》的禅观,
无人相,no form of others,《心经》的禅观,
大众,the assembly/the congregation,向观音菩萨学修行,
众生,sentient being/living creatures,《心经》的禅观/心灵创造幸福,
众生相,form of living beings/form of sentient beings,《心经》的禅观/生命的痛苦及其解脱,
无众生相,no form of living beings,《心经》的禅观,
寿者相,form of everything,《心经》的禅观,
无寿者相,no form of everything,《心经》的禅观,
无相的,formless/devoid of form,《心经》的禅观/向观音菩萨学修行,
无住的,non-abiding,向观音菩萨学修行,
我执,"self-attachment
attachment to the self
self-clinging","《心经》的禅观
《心经》的禅观
开启正念与慈悲大爱",
成就我执,reinforce self-attachment,《心经》的禅观,
法执,attachment to Dharmas(phenomena),《心经》的禅观,
我法二执,"attachment to the self and phenomena
the dualistic attachment to self and phenomena
the dual attachment to self and phenomena","《心经》的禅观
开启正念与慈悲大爱
以茶入禅",
自我的重要感,a sense of self-importance/self-importance,《心经》的禅观,
优越感,superiority,《心经》的禅观,
主宰欲,dominance/the desire to dominate,《心经》的禅观/《六祖坛经》与心理治疗,
三句式,the tripartite formula,《心经》的禅观,
"所谓…即非…
是名…","…is spoken of as no … therefore, it is called…",《心经》的禅观,
不,negation,当代宗教信仰问题的思考,
空/空性,emptiness,《心经》的禅观,
xx的空性,the emptiness of xx,《心经》的禅观,
体认空性,realise emptiness/experience the nature of emptiness,《心经》的禅观,
契入空性,enter into the state of emptiness,《心经》的禅观,
通达空性,understand emptiness/realize emptiness,《心经》的禅观/正念禅修的要领,
安住空性,reside in the state of emptiness,向观音菩萨学修行,
透过现象的空,through the phenomenal emptiness,《心经》的禅观,
知识上的空,intellectual understanding of emptiness,《心经》的禅观,
xx现象的本质就是空性,The phenomena of xx are empty in nature.,《心经》的禅观,
空性智慧,the wisdom of emptiness,《心经》的禅观,
