中文,英文,补充内容,英文
甘露别院,Amrita Retreat Center,山水逢甘露 静心遇桃源,"Nestled between mountains and waters, sweet dew descends; in perfect stillness, a paradise is revealed."
,,无我，无相，无限，出世，寂静，超然,"no-self, formlessness, infinity, supramundane, quiescence, transcendence"
,,此心安处是吾乡,"where my mind abides in peace, there is my home"
,,"人工不造作
自然不野蛮
单纯不单调
丰富不复杂","artisanal and effortless,
natural and refined,
simple and dynamic,
rich and pure.

crafted yet not forced, 
natural yet not wild.
simple yet not dull,
rich yet not complex."
选佛场,"通常用：Great Meditation Hall
如内容需直译：Buddha Selection Hall",仿制麦积山石窟第44号特窟主佛像,replica of the primary Buddha from Cave 44 of the Maiji Mountain Grottoes
,,本来面目,Original Face; Original Mind
,,东方的微笑,the Smile of the East
,,十方同聚会，个个学无为，此是选佛场，心空及第归。,"Gathered from ten directions, all to study the unconditioned. This is the place to choose Buddhahood; return successfully with an empty mind."
五方佛塔,Five Dharani Pillars,,
拈花广场,Flower Sermon Sqaure,,
红枫大道,Red Maple Avenue,,
素食餐厅,Vegan Restaurant,,
弥勒楼阁,Maitreya Pavilion,,
大觉堂,The Great Enlightenment Hall,,
静心图书馆,Mindful Peace Library,,
斋堂,Dining Hall,,
小木屋,Wooden Cabin,,
义工之家,Volunteer Center,,
随喜墙,Wall of Rejoicing,,
普贤行愿塔,The Tower of Samantabhadra’s Vows,《普贤行愿品》,The Practices and Vows of Samantabhadra Bodhisattva
正觉塔,Sambodhi Pagoda ,,
佛塔、经幢、莲花座,"stone pagodas, Dharani pillars, lotus pedestals",,
正念钟,Mindfulness Bell ,,
正念大道,Mindfulness Path,,
梅花岛,Plum Flower Island,,
云水山房,Waterside Cottage,,
东方静心文化研究所,Eastern Mindful Peace Culture Research Institute,,
静心禅院,Mindful Peace Chan Monastery,,
真际寺,Satya Monastery,,
静心学堂,Mindful Peace Academy,,
静心小院,Mindful Peace Yard,,
安心茶室,Dhyana Tea Space,,
云水轩（禅意体验馆）,Yunshui Life,,
草自青（品牌）,Verdure,,
