中文,英文,补充内容,英文
静心学堂,Mindful Peace Academy,,
静心学堂课程,Mindful Peace Academy Curriculum,,
静心学堂丛书,Mindful Peace Academy Collection,,
静心之友制度,MPI Membership,静心之友,MPI Member
,,静心之友会员卡,MPI Membership Card
善士、学士、修士、胜士、智士,"the Virtuous
the Scholarly
 the Practitioner
the Victorious
the Sagacious",,
同喜班、同喜班、同德班,"Tongxi, Tongxiu, Tongde",,
英文同喜班,Mindful Peace Academy Curriculum,因为英文暂时没有同修和同德班，同喜班就是整套英文课程，所以不用翻出Tongxi,
辅导员,Class Facilitator,,
辅助员,Class Assistant,,
态度模式,Attitude,真诚、认真、老实,"honest, earnest, committed"
八步三禅,Eight Steps and Three Types of Meditation,"观念的禅修
心态的禅修
生命品质的禅修","Meditation on Views
Meditation on Mindsets
Meditation on Life Quality"
,,观察修，安住修,"contemplative meditation, 
abiding meditation"
,,理解，接受，运用,"understanding, accepting, and applying"
课程体系,Curriculum Framework,禅意生活系列,The Chan-inspired Lifestyle Module
,,智慧人生系列,The Wisdom in Life Module
,,正念禅修系列,The Mindfulness Meditation Module
,,皈依课程系列,The Refuge Module
禅修,Meditation,三级正念禅修,three levels of mindfulness meditation
,,三级利他禅修,three levels of altruistic meditation
,,慈心禅修,loving-kindness meditation
,,八步骤三种禅修,eight steps and three types of meditation
"
修学方式",Approach to Study and Practice,自修,self-study
,,小组交流,group discussion
,,班级交流,class discussion
菩提导航应用,the Bodhi Navigator App,正念生活日记,the mindfulness daily journal
,,利他禅修周记,altruistic meditation weekly journal
六步成长,Six-step Development,,
觉醒之道,The Path of Awakening,同愿同行，共同成长,"Shared Vows, Shared Path, Shared Future"
